Timestamp,People in frame,No. of violations,Locality,Latitude,Longitude,Locality Type,Zone Category,Distance from containment area
May 26 2020 03:06:51,39,20,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 22 2020 06:00:42,11,15,Edana-Alpha1,28.472,77.488,Residential,red,2
May 03 2020 02:15:07,49,13,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 14 2020 05:11:00,8,6,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 14 2020 06:27:13,14,11,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 13 2020 07:28:37,40,7,City Park-Alpha2,28.504,77.502,Park,green,15
May 10 2020 01:51:09,2,19,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 24 2020 06:58:36,43,8,Edana-Alpha1,28.472,77.488,Residential,red,2
May 18 2020 01:44:14,3,17,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 09 2020 08:56:37,14,14,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 18 2020 02:59:35,33,12,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 22 2020 02:47:46,12,3,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 24 2020 01:15:55,28,18,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 29 2020 01:50:28,33,24,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 27 2020 06:15:53,24,20,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 30 2020 08:09:02,3,7,Edana-Alpha1,28.472,77.488,Residential,red,2
May 29 2020 04:19:32,31,8,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 15 2020 07:35:45,9,10,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 13 2020 11:39:30,24,25,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 08 2020 10:59:12,23,20,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 02 2020 03:25:35,10,22,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 16 2020 02:11:57,12,3,City Park-Alpha2,28.504,77.502,Park,green,15
May 08 2020 09:30:55,44,2,City Park-Alpha2,28.504,77.502,Park,green,15
May 09 2020 03:16:56,13,0,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 12 2020 01:17:35,44,2,Edana-Alpha1,28.472,77.488,Residential,red,2
May 11 2020 06:31:14,46,25,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 31 2020 02:30:08,18,7,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 07 2020 03:45:34,32,5,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 13 2020 02:50:57,19,11,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 12 2020 07:46:09,36,7,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 17 2020 09:21:07,16,22,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 27 2020 02:26:16,4,5,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 28 2020 12:02:32,1,16,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 18 2020 08:26:13,8,3,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 22 2020 12:52:37,2,16,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 31 2020 02:08:19,11,20,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 26 2020 12:01:19,8,3,Edana-Alpha1,28.472,77.488,Residential,red,2
May 02 2020 04:50:29,24,20,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 20 2020 08:18:00,3,23,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 13 2020 02:50:40,5,12,Edana-Alpha1,28.472,77.488,Residential,red,2
May 28 2020 06:55:12,11,12,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 08 2020 01:06:53,12,9,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 19 2020 04:10:28,20,10,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 30 2020 02:40:57,46,10,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 31 2020 09:15:22,44,9,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 02 2020 03:06:44,4,6,Edana-Alpha1,28.472,77.488,Residential,red,2
May 18 2020 07:04:00,23,22,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 16 2020 07:57:45,16,6,City Park-Alpha2,28.504,77.502,Park,green,15
May 21 2020 07:44:54,34,0,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 16 2020 10:43:06,29,18,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 07 2020 04:08:53,24,8,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 03 2020 07:54:49,25,1,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 01 2020 08:23:59,48,9,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 08 2020 07:17:48,24,14,Sommerville school-Alpha2,28.496,77.507,School,orange,17
